FormattedDate,away_WP,to_WP,day_of_week,skiers
11/14/14,0,1632,4,1632
11/15/14,1695,1964,5,1901
11/16/14,3390,1489,6,0
11/17/14,1716,1493,0,-223
11/18/14,1544,1531,1,-236
11/19/14,1702,1714,2,-224
11/20/14,1692,1861,3,-55
11/21/14,1965,3287,4,1267
11/22/14,2360,3125,5,2032
11/23/14,2857,1940,6,1115
11/24/14,1952,1965,0,1128
11/25/14,2010,2337,1,1455
11/26/14,2654,4467,2,3268
11/27/14,1843,2738,3,4163
11/28/14,3906,5106,4,5363
11/29/14,5075,3274,5,3562
11/30/14,5192,1914,6,284
12/1/14,1995,1564,0,-147
12/2/14,1694,1688,1,-153
12/3/14,1676,1725,2,-104
12/4/14,1765,2024,3,155
12/5/14,2008,3937,4,2084
12/6/14,3818,4376,5,2642
12/7/14,4686,2455,6,411
12/8/14,1941,1680,0,150
12/9/14,1745,1673,1,78
12/10/14,1860,1869,2,87
12/11/14,1918,2112,3,281
12/12/14,2146,3909,4,2044
12/13/14,3287,3720,5,2477
12/14/14,4191,2490,6,776
12/15/14,2765,2395,0,406
12/16/14,2183,2228,1,451
12/17/14,2186,2275,2,540
12/18/14,0,227,3,767
12/19/14,3046,5245,4,2966
12/20/14,3949,5553,5,4570
12/21/14,4562,3840,6,3848
12/22/14,3491,3580,0,3937
12/23/14,3995,4154,1,4096
12/24/14,3370,4095,2,4821
12/25/14,2445,3502,3,5878
12/26/14,3477,5225,4,7626
12/27/14,5310,5478,5,7794
12/28/14,5459,4136,6,6471
12/29/14,3801,3297,0,5967
12/30/14,3191,3392,1,6168
12/31/14,3832,5651,2,7987
1/1/15,5268,4362,3,7081
1/2/15,6694,5702,4,6089
1/3/15,6661,4072,5,3500
1/4/15,6684,3012,6,-172
1/5/15,3420,2342,0,-1250
1/6/15,2628,2394,1,-1484
1/7/15,2326,2282,2,-1528
1/8/15,2647,2833,3,-1342
1/9/15,2698,5162,4,1122
1/10/15,4990,4706,5,838
1/11/15,6317,2781,6,-2698
1/12/15,2514,1932,0,-3280
1/13/15,1935,1884,1,-3331
1/14/15,0,90,2,-3241
1/15/15,2597,3221,3,-2617
1/16/15,3100,7282,4,1565
1/17/15,4266,6008,5,3307
1/18/15,6615,4023,6,715
1/19/15,6871,2849,0,-3307
1/20/15,2294,2081,1,-3520
1/21/15,2135,2238,2,-3417
1/22/15,2591,3471,3,-2537
1/23/15,2947,7114,4,1630
1/24/15,5349,6002,5,2283
1/25/15,8318,3779,6,-2256
1/26/15,2989,1987,0,-3258
1/27/15,2111,2008,1,-3361
1/28/15,2064,2191,2,-3234
1/29/15,2091,2900,3,-2425
1/30/15,2659,6595,4,1511
1/31/15,4451,4915,5,1975
2/1/15,7561,3364,6,-2222
2/2/15,2815,1784,0,-3253
2/3/15,2145,2135,1,-3263
2/4/15,1900,2092,2,-3071
2/5/15,3128,3998,3,-2201
2/6/15,3238,7332,4,1893
2/7/15,5221,5771,5,2443
2/8/15,8542,3553,6,-2546
2/9/15,2858,1966,0,-3438
2/10/15,1908,1954,1,-3392
2/11/15,2314,2532,2,-3174
2/12/15,2488,3832,3,-1830
2/13/15,3467,7733,4,2436
2/14/15,3955,5297,5,3778
2/15/15,6259,3424,6,943
2/16/15,6074,2352,0,-2779
2/17/15,3273,2519,1,-3533
2/18/15,2603,2755,2,-3381
2/19/15,2657,3518,3,-2520
2/20/15,3004,8018,4,2494
2/21/15,3906,4102,5,2690
2/22/15,6860,2239,6,-1931
2/23/15,3305,2226,0,-3010
2/24/15,2628,2596,1,-3042
2/25/15,2179,2208,2,-3013
2/26/15,2132,2994,3,-2151
2/27/15,2958,6996,4,1887
2/28/15,4645,5197,5,2439
3/1/15,8199,3488,6,-2272
3/2/15,2933,2078,0,-3127
3/3/15,1917,1777,1,-3267
3/4/15,2096,2234,2,-3129
3/5/15,2664,3599,3,-2194
3/6/15,3445,7284,4,1645
3/7/15,5306,6021,5,2360
3/8/15,2200,0,6,160
3/9/15,3037,2510,0,-367
3/10/15,2608,2515,1,-460
3/11/15,2684,2675,2,-469
3/12/15,2726,3010,3,-185
3/13/15,3115,5745,4,2445
3/14/15,4671,5461,5,3235
3/15/15,6361,3996,6,870
3/16/15,3022,2668,0,516
3/17/15,2503,2293,1,306
3/18/15,2878,2653,2,81
3/19/15,2640,2836,3,277
3/20/15,3605,5306,4,1978
3/21/15,4306,4749,5,2421
3/22/15,5422,3384,6,383
3/23/15,3104,2717,0,-4
3/24/15,2881,2745,1,-140
3/25/15,3204,3292,2,-52
3/26/15,3626,4042,3,364
3/27/15,4033,5394,4,1725
3/28/15,4283,4157,5,1599
3/29/15,5425,2720,6,-1106
3/30/15,2753,2150,0,-1709
3/31/15,2215,2129,1,-1795
4/1/15,2288,2253,2,-1830
4/2/15,1994,2362,3,-1462
4/3/15,3072,4015,4,-519
4/4/15,3659,3365,5,-813
4/5/15,3776,2019,6,-2570
4/6/15,2218,1916,0,-2872
4/7/15,1858,1824,1,-2906
4/8/15,1968,1903,2,-2971
4/9/15,1858,2000,3,-2829
4/10/15,2252,3206,4,-1875
4/11/15,2635,2835,5,-1675
4/12/15,3492,1943,6,-3224
4/13/15,1987,1612,0,-3599
4/14/15,1870,1766,1,-3703
4/15/15,1715,1614,2,-3804
4/16/15,1492,1640,3,-3656
4/17/15,1980,3237,4,-2399
4/18/15,3000,3251,5,-2148
4/19/15,3896,2337,6,-3707
4/20/15,2205,1909,0,-4003
4/21/15,2077,2035,1,-4045
4/22/15,1958,1950,2,-4053
4/23/15,1747,1977,3,-3823
4/24/15,2223,3877,4,-2169
4/25/15,2606,3399,5,-1376
4/26/15,4610,2103,6,-3883
